ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly
41,I am a developer by profession,Employed full-time,Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,School,Less than 1 year,5,"Developer, full-stack",20 to 99 employees,EUR European Euro,,Monthly,C;C#;C++;Java;Kotlin;Python,Dart;Kotlin;Python;Swift,MongoDB;MySQL;Oracle;PostgreSQL,MongoDB;PostgreSQL,,,,,Flutter;NumPy,,Git;Unity 3D,Git,Android Studio;IntelliJ;Sublime Text;Visual Studio;Visual Studio Code;Xcode,Android Studio;IntelliJ;Sublime Text;Visual Studio,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,No,,Neutral,No,25-34 years old,Man,No,,,,,Appropriate in length,Easy,
257,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Portugal,,,Some college/university study without earning a degree,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Colleague",9,3,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end","1,000 to 4,999 employees",EUR European Euro,700.0,Monthly,C#;HTML/CSS;Java;SQL;VBA,C#;HTML/CSS;Java;SQL;VBA,Microsoft SQL Server;MySQL,Microsoft SQL Server;MySQL,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET Core ,ASP.NET;ASP.NET Core ,.NET Framework;.NET Core / .NET 5,.NET Framework;.NET Core / .NET 5,,,Notepad++;Visual Studio,Notepad++;Visual Studio,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,9084.0
427,I code primarily as a hobby,"Student, full-time",Portugal,,,Some college/university study without earning a degree,11 - 17 years,Online Forum,5,,,,,,,C;Matlab;Python;Rust;SQL,Rust,PostgreSQL,,,,,,,,Git,Git,Visual Studio Code,Visual Studio Code,Linux-based,Visit Stack Overflow;Google it;Do other work and come back later;Play games;Panic,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,Neutral,No,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,
439,I am a developer by profession,Employed full-time,Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",8,7,"Developer, back-end",20 to 99 employees,EUR European Euro,2650.0,Monthly,Java;JavaScript;Python;SQL,Java;Kotlin;SQL,Elasticsearch;MySQL,Elasticsearch;MySQL;Redis,AWS,AWS;Google Cloud Platform,Spring,Spring,NumPy,,Docker;Git,Docker;Git;Kubernetes,IntelliJ;Sublime Text,IntelliJ;Sublime Text,MacOS,Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,34380.0
455,I am a developer by profession,Employed full-time,Portugal,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member",5,2,"Developer, mobile;Developer, full-stack",20 to 99 employees,EUR European Euro,,,C#;JavaScript;Node.js;TypeScript,C#;JavaScript;Node.js;TypeScript,Firebase;Microsoft SQL Server;MongoDB;SQLite,Microsoft SQL Server;MongoDB;SQLite,Heroku,,React.js,ASP.NET;ASP.NET Core ;React.js,.NET Framework;.NET Core / .NET 5,.NET Framework;.NET Core / .NET 5,Xamarin,Xamarin,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,Yes,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,I am blind / have difficulty seeing,None of the above,Appropriate in length,Easy,
468,I am a developer by profession,Employed full-time,Portugal,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School,9,4,"Developer, full-stack",2 to 9 employees,EUR European Euro,1860.0,Monthly,Go;JavaScript;SQL;TypeScript,Go;JavaScript;Python;Ruby;SQL;TypeScript,Elasticsearch;MariaDB,Elasticsearch;MariaDB;MongoDB;PostgreSQL,AWS,AWS,Angular,Angular,,,,,Emacs;Sublime Text;Visual Studio Code,Emacs;Sublime Text;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,24132.0
579,I am a developer by profession,Employed full-time,Portugal,,,Some college/university study without earning a degree,11 - 17 years,Online Courses or Certification;Colleague,15,12,"Developer, front-end",100 to 499 employees,EUR European Euro,,,HTML/CSS;JavaScript;PHP,HTML/CSS;JavaScript,MySQL,MySQL,Microsoft Azure,Microsoft Azure,Express;Vue.js,Express;Vue.js,,,Git,Deno;Git,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",No,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,
645,I am a developer by profession,Employed full-time,Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,School,6,1,"Developer, full-stack",2 to 9 employees,EUR European Euro,,,Elixir;HTML/CSS;JavaScript;Ruby,Elixir;HTML/CSS;JavaScript;Ruby,PostgreSQL,PostgreSQL,AWS;Google Cloud Platform;Heroku,AWS;Google Cloud Platform;Heroku,React.js;Ruby on Rails,React.js;Ruby on Rails;Svelte,,,Docker;Git;Yarn,Docker;Git;Yarn,Sublime Text;Vim;Visual Studio Code,Sublime Text;Vim,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,Yes,18-24 years old,Man,No,Straight / Heterosexual,Hispanic or Latino/a/x,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
696,I am a student who is learning to code,"Student, full-time",Portugal,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School,6,,,,,,,Bash/Shell;C;C#;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL,C++;Kotlin,MongoDB;PostgreSQL,,Heroku;Microsoft Azure,Heroku,Express;jQuery;React.js,,.NET Core / .NET 5,,Docker;Git;Unity 3D,Docker;Git;Unity 3D;Unreal Engine,Android Studio;Eclipse;Vim;Visual Studio;Visual Studio Code,Android Studio;Vim;Visual Studio Code,Windows,Google it;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",No,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,
1085,I code primarily as a hobby,"Student, full-time",Portugal,,,Primary/elementary school,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Friend or family member",,,,,,,,C;HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript,HTML/CSS;JavaScript;Node.js;SQL;TypeScript,SQLite,,,,,,TensorFlow,,Deno;Git,Git,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio Code,Windows,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,A few times per month or weekly,"Yes, somewhat",No,,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,
